metric,value
citer_cutoff,2008.0
ref_cutoff_year,2006.0
n_citing_docs,652.0
n_citation_pairs,10748.0
network_n_nodes,126.0
network_n_edges,203.0
econ_subgraph_n_nodes,34.0
econ_subgraph_n_edges,60.0
econ_cross_cluster_edges_observed,0.0
econ_within_share_observed,1.0
econ_cross_share_null_mean,0.43633333333333335
econ_cross_share_null_std,0.04993710971860767
econ_within_share_z,8.737656940740925
econ_within_share_p,0.009900990099009901
econ_null_n_perm,100.0
burden_candidates,16.0
burden_candidates_in_network,1.0
burden_max_anchors_one_community,1.0
burden_community_observed,0.0
boot_n,200.0
boot_n_valid,200.0
boot_burden_rate,0.125
boot_cdm_rate,1.0
boot_pricing_rate,0.92
