metric,value
citer_cutoff,2008.0
ref_cutoff_year,2006.0
n_citing_docs,631.0
n_citation_pairs,9957.0
network_n_nodes,132.0
network_n_edges,222.0
econ_subgraph_n_nodes,31.0
econ_subgraph_n_edges,55.0
econ_cross_cluster_edges_observed,0.0
econ_within_share_observed,1.0
econ_cross_share_null_mean,0.4378181818181819
econ_cross_share_null_std,0.04818640933130518
econ_within_share_z,9.085926672974683
econ_within_share_p,0.009900990099009901
econ_null_n_perm,100.0
burden_candidates,16.0
burden_candidates_in_network,1.0
burden_max_anchors_one_community,1.0
burden_community_observed,0.0
boot_n,200.0
boot_n_valid,200.0
boot_burden_rate,0.08
boot_cdm_rate,0.995
boot_pricing_rate,0.925
